#,Name,Role,Jersey No,Rarity,Moment Type,Licensor,Player's Team,Moment Inning,Moment Ball/Over,Team A,Team A Score,Overs,Team B,Team B Score,Overs,Tournament,Date,Match Number,Match Stage,Badges,Moment Description,Moment Commentary,Opposite player name,slugname,2,Photos Comments,Pack Name,ESPN Link, Comments,Description,Photos Checked,Player Level,NFT Quality,NFT Class
13,Johnson Charles,Wk-Batter,25,Rare,Six,ICC,West Indies,2,1.5,Afghanistan,123/7,20,West Indies,117/8,20,2016 ICC Men's T20 WC,2016-03-27,30,Group Stage,"[""CHAMP_TEAM""]",Johnson Charles gets one in his slot from Mohammad Nabi and smokes it for a six over long on and into the stands during the group stage match of the 2016 ICC Men's T20 World Cup.,"1.5, M Nabi to Charles, SIX runs wow - he's got all of this. He has utterly nailed it over wide long-on!",Mohammad Nabi ,johnsoncharles1,TRUE,,,https://www.espncricinfo.com/series/world-t20-2015-16-901359/afghanistan-vs-west-indies-30th-match-super-10-group-1-951365/full-scorecard,,,,2,2,Hitter
14,Joshua James,Bowler,51,Common,Wicket,ICC,West Indies,1,37.5,South Africa,143/10,38.2,West Indies,147/6,41.4,2020 ICC Men's U19 CWC,2020-02-01,33,Group Stage,,Extra pace and bounce from Joshua James deceives Achille Cloete into playing a false shot only to get out caught at backward point during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"37.5, James to Cloete, OUT",Achille Cloete ,joshuajames1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/south-africa-under-19s-vs-west-indies-under-19s-5th-place-play-off-1204711/full-scorecard,,,,3,4,Work Horse
15,Keemo Paul,All Rounder,17,Rare,Wicket,ICC,West Indies,1,45.1,India,145/10,45.1,West Indies,146/5,49.3,2016 ICC Men's U19 CWC,2016-02-14,48,Final,"[""WC_FINAL"",""CHAMP_TEAM""]",Keemo Paul's full delivery just outside off stump gets a healthy edge from the bat of Rahul Batham who is caught behind by the keeper during the final match of the 2016 ICC Men's Under 19 World Cup.,"45.1, Paul to Batham, OUT Paul wraps India up for 145. Gentle full ball outside off, nicked behind to Imlach who started it all off with some clever work behind the stumps",Rahul Batham ,keemopaul1,TRUE,different celebration from same match,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2015-16-949357/india-under-19s-vs-west-indies-under-19s-final-949797/full-scorecard,,,,3,4,Dibbly Dobbly
16,Kirk McKenzie,Batter,54,Common,Six,ICC,West Indies,1,20.6,West Indies,267/7,50,England,184/9,43.4,2020 ICC Men's U19 CWC,2020-01-20,8,Group Stage,,A full length delivery from Hamidullah Qadri is hammered into the stands by Kirk McKenzie for a six during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"20.6, Hamidullah Qadri to McKenzie, SIX runs",Hamidullah Qadri ,kirkmckenzie1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/england-under-19s-vs-west-indies-under-19s-8th-match-group-b-1204682/full-scorecard,,,,3,2,Hitter
17,Kyle Mayers,All Rounder,13,Rare,Wicket,ICC,West Indies,1,19.3,India,166/8,50,West Indies,167/6,47.1,2012 ICC Men's U19 CWC,2012-08-12,7,Group Stage,POTM,Kyle Mayers gets the big wicket of the Indian skipper Unmukt Chand who edges one straight to the wicket keeper during the group stage match of the 2012 ICC Men's Under 19 World Cup.,"19.3, Mayers to Chand, OUT The patience wears thin for Chand. After being pegged back by the deliveries in corridor, he decides to have a defensive poke at one and gets a faint outside edge back to the keeper. This time Ambris doesn't make any mistake.",Unmukt Chand,kylemayers1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2012-526969/india-under-19s-vs-west-indies-under-19s-7th-match-group-c-554523/full-scorecard,,,,3,3,Dibbly Dobbly
18,Leonardo Julien,Wk-Batter,99,Common,Four,ICC,West Indies,1,7.5,West Indies,267/7,50,England,184/9 (D/L),43.4,2020 ICC Men's U19 CWC,2020-01-20,8,Group Stage,,Cracking drive from Leonardo Julien as he times the full delivery just outside off stump from Blake Cullen through the covers for an elegant four during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"7.5, Cullen to Julien, FOUR runs",Blake Cullen,leonardojulien1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/england-under-19s-vs-west-indies-under-19s-8th-match-group-b-1204682/full-scorecard,,,,3,3,Accumulator
19,Matthew Forde,Bowler,5,Common,Wicket,ICC,West Indies,2,42.3,West Indies,267/7,50,England,184/9 (D/L),43.4,2020 ICC Men's U19 CWC,2020-01-20,8,Group Stage,,A back of the hand slower one from Matthew Forde induces Kasey Aldridge into playing a big shot but he ends up skying it only to be caught by the bowler during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"42.3, Forde to Aldridge, OUT",Kasey Aldridge ,matthewforde1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/england-under-19s-vs-west-indies-under-19s-8th-match-group-b-1204682/full-scorecard,,,,3,3,Work Horse
21,Nyeem Young,Bowler,7,Common,Wicket,ICC,West Indies,2,15.1,West Indies,238/10,47.5,New Zealand,239/8,49.4,2020 ICC Men's U19 CWC,2020-01-29,30,Group Stage,,Nyeem Young goes for the attempted bouncer as Jesse Tashkoff shuffles across his stumps to connect but ends up gloving it to the keeper during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"15.1, Young to Tashkoff, OUT",Jesse Tashkoff,nyeemyoung1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/new-zealand-under-19s-vs-west-indies-under-19s-super-league-quarter-final-2-1204704/full-scorecard,,,,3,4,Work Horse
22,Obed McCoy,Bowler,61,Rare,Wicket,ICC,West Indies,1,18.3,Afghanistan,189/5,20,West Indies,133/5,20,2021 ICC Men's T20 WC Warm Up Matches,2021-10-20,9,Warm Up ,,Full and wide from Obed McCoy gets the better of Rahmanullah Gurbaz who goes for the big shot but doesnt get the connection it needed and ends up getting caught by the fielder in the deep during the 9th warm up match of the 2021 ICC Men's T20 World Cup Warm Up matches.,"18.3, McCoy to Rahmanullah, OUT",Rahmanullah Gurbaz ,obedmccoy1,TRUE,,,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-warm-up-matches-2021-22-1282497/afghanistan-vs-west-indies-1282512/full-scorecard,,,,3,4,Work Horse
24,Oshane Thomas,Bowler,42,Common,Wicket,ICC,West Indies,1,21.4,Pakistan,105/10,21.4,West Indies,108/3,13.4,2019 ICC Men's CWC,2019-05-31,2,Group Stage,POTM,The Pakistan innings comes to an end as Oshane Thomas goes absolutely full and straight into the stumps of Wahab Riaz who ends but getting out bowled during the group stage match of the 2019 ICC Men's Cricket World Cup.,"21.4, Thomas to Wahab Riaz, OUT Full, straight and gone! Such poor application. Why would you expose all three stumps and slog wildly when you have a lifetime of overs remaining?",Wahab Riaz,oshanethomas1,TRUE,,,https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-west-indies-2nd-match-1144484/full-scorecard,,,,3,2,Work Horse
25,Preston McSween,Bowler,10,Common,Wicket,ICC,West Indies,1,47.1,South Africa,198/9,50,West Indies,104/10,35.2,2014 ICC Men's U19 CWC,2014-02-14,4,Group Stage,,Preston McSween bowls the straight line and traps Yaseen Valli in front of his stumps as he tries to play across the line and ends up being adjudged lbw during the group stage match of the 2014 ICC Men's Under 19 World Cup.,"47.1, McSween to Valli, OUT Good ball in line with the stumps and Vallie looks to swing it over the midwicket fence, misses it and is struck on the pad, loud appeal and given.",Yaseen Valli ,prestonmcSween1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2013-14-700273/south-africa-under-19s-vs-west-indies-under-19s-4th-match-group-c-700339/full-scorecard,,,,3,4,Work Horse
26,Qasim Akram,All Rounder,49,Common,Four,ICC,Pakistan,1,47.4,Pakistan,365/3,50,Sri Lanka,127/10,34.2,2022 ICC Men's U19 CWC,2022-02-03,45,Group Stage,POTM,Qasim Akram flat bats the half tracker from Shevon Daniel with force over the extra cover fielder and into the gap for a four during the group stage match of the 2022 ICC Men's Under 19 World Cup.,"47.4, Daniel to Qasim Akram, FOUR runs Slaps it away over extra cover for a boundary",Shevon Daniel,qasimakram1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/pakistan-under-19s-vs-sri-lanka-under-19s-5th-place-play-off-1289837/full-scorecard,,,,3,3,Pie Chucker
27,Ramon Simmonds,Bowler,56,Common,Wicket,ICC,West Indies,1,3.3,South Africa,143/10,38.2,West Indies,147/6,41.4,2020 ICC Men's U19 CWC,2020-02-01,33,Group Stage,,Ramon Simmonds gets Jonathan Bird in two minds with his enticing line as Bird ends up edging one straight to the keeper during the group stage match of the 2020 ICC Men's Under 19 World Cup.,"3.3, Simmonds to Bird, OUT",Jonathan Bird ,ramonsimmonds1,TRUE,,,https://www.espncricinfo.com/series/under-19-world-cup-2019-20-1204639/south-africa-under-19s-vs-west-indies-under-19s-5th-place-play-off-1204711/full-scorecard,,,,3,3,Work Horse
28,Rivaldo Clarke,Batter,29,Common,Four,ICC,West Indies,1,7.4,West Indies,169/10,40.1,Australia,170/4,44.5,2022 ICC Men's U19 CWC,2022-01-14,1,Group Stage,,Lovely timing on display from Rivaldo Clarke as he gets one full and just outside off from William Salzmann and drives it well through covers for a four during the group stage match of the 2022 ICC Men's Under 19 World Cup.,"7.4, Salzmann to Clarke, FOUR runs Full and just outside off, comes well forward and drives it well in the gap between covers and extra cover for four",William Salzmann,rivaldoclarke1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2021-22-1289790/west-indies-under-19s-vs-australia-under-19s-1st-match-group-d-1289793/full-scorecard,,,,3,3,Hitter
29,Roston Chase,All Rounder,10,Rare,Four,ICC,West Indies,1,10.6,West Indies,142/7,20,Bangladesh,139/5,20,2021 ICC Men's T20 WC,2021-10-29,23,Group Stage,,Roston Chase gets an easy delivery short of length on leg stumps from Mustafizur Rahman as Chase manages to find the gap for a four depsite a diving attempt from the fielder during the group stage match of the 2021 ICC Men's T20 World Cup.,"10.6, Mustafizur to Chase, FOUR runs Finally connects one. Short of a length on leg stump, goes back and across to smack a pull to deep square leg. Fielder running to his right had a shot at stopping it but couldn't parry it back in time",Mustafizur Rahman,rostonchase1,TRUE,,,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-west-indies-23rd-match-group-1-1273734/full-scorecard,,,,2,4,Pie Chucker
30,Sandeep Lamichhane,Bowler,25,Common,Wicket,ICC,Nepal,1,46.4,Pakistan,258/8,50,Nepal,136/10,43.5,2016 ICC Men's U19 CWC,2016-02-09,38,Group Stage,,The spinner from Sandeep Lamichhane induces Salman Fayyaz into playing a big shot but he fails to get the clearance and ends up getting caught at long on during the group stage match of the 2016 ICC Men's Under 19 World Cup.,"46.4, Lamichhane to Salman Fayyaz, OUT",Salman Fayyaz ,sandeeplamichhane1,TRUE,different ICC Tournament,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2015-16-949357/nepal-under-19s-vs-pakistan-under-19s-5th-place-play-off-semi-final-949777/full-scorecard,,,,3,4,Spinner
31,Seekkuge Prasanna,All Rounder,41,Common,Wicket,ICC,Sri Lanka,2,7.1,Sri Lanka,160/6,20,West Indies,80/4 (D/L),13.5,2014 ICC Men's T20 WC,2014-04-03,33,Semi -Final,"[""WC_SEMI_FINAL"",""WORLD_CHAMP""]",Seekkuge Prasanna bowls the pacy slider into the pads of Lendl Simmons on the first ball of his spell and finds Simmons plumb infront of his stumps during the semi final match of the 2014 ICC Men's T20 World Cup.,"7.1, Prasanna to Simmons, OUT He takes the wicket of the first ball! That quick slider ends Simmons' innings. The batsman chose to stay back, but that one came in and came in quick and hit the back pad as the batsman looked to cut. That was an excellent delivery to start the spell.. A bit like Shahid Afridi's legspinners..",Lendl Simmons,seekkugeprasanna1,TRUE,,,https://www.espncricinfo.com/series/world-t20-2013-14-628368/sri-lanka-vs-west-indies-1st-semi-final-682961/full-scorecard,,,,3,2,Pie Chucker
32,Shamar Springer,All Rounder,26,Common,Four,ICC,West Indies,2,22.3,England,282/7,50,West Indies,221/10,43.4,2016 ICC Men's U19 CWC,2016-01-29,7,Group Stage,"[""CHAMP_TEAM""]",Shamar Springer plays the perfect square drive against the wide delivery from Mason Crane to bring up a four during the group stage match of the 2016 ICC Men's Under 19 World Cup.,"22.3, Crane to Springer, FOUR runs Flays that one into the point boundary. Gets to the pitch, opens the face of the bat and goes through with the square drive. Intent written all over that one",Mason Crane,shamarspringer1,TRUE,,,https://www.espncricinfo.com/series/icc-under-19-world-cup-2015-16-949357/england-under-19s-vs-west-indies-under-19s-7th-match-group-c-949717/full-scorecard,,,,3,3,Dibbly Dobbly
